site lon lat alt tile
COVE_SEAPRISM -75.710000 36.900000 .000000 18SVF
Galata_Platform 28.193190 43.044624 .000000 35TNH
Gloria 29.359670 44.599970 30.000000 35TPK
GOT_Seaprism 101.412300 9.286200 .000000 47PQL
Gustav_Dalen_Tower 17.466830 58.594170 .000000 33VXF
Helsinki_Lighthouse 24.926360 59.948970 .000000 35VLG
Ieodo_Station 125.182447 32.122953 .000000 51SYR
Lake_Erie -83.193600 41.825600 173.00000 17TLG
LISCO -73.341767 40.954517 0.000000 18TXL
Lucinda 146.386100 -18.519800 .000000 55KDV
MVCO -70.550000 41.300000 0.000000 19TCF
Palgrunden 13.151500 58.755333 44.000000 33VUF
Socheongcho 124.738039 37.423133 .000000 51SXB
Thornton_C-power 2.955278 51.532500 .000000 31UDT
USC_SEAPRISM -118.117820 33.563710 .000000 11SLT
Venise 12.508300 45.313900 .000000 32TQR
WaveCIS_Site_CSI_6 -90.483333 28.866667 .0000 15RYN
WaveCIS_Site_CSI_6 -90.483333 28.866667 .0000 15RYM
Zeebrugge-MOW1 3.120000 51.362000 .000000 31UES
