process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m),flag
1,Aphanizomenon_Sweden,2015-08-12,2015-08-14,S2,33VXF,20,0
1,Aphanizomenon_Sweden,2015-08-12,2015-08-14,S2,33VXE,20,0
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,33VXF,20,0
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,33VXE,20,0
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,34VEL,20,0
1,Aphanizomenon_Sweden,2019-07-25,2019-07-27,S2,33VXF,20,0
1,Aphanizomenon_Sweden,2019-07-25,2019-07-27,S2,33VXE,20,0
1,Asterionellopsis_France,2017-06-17,2017-07-18,S2,31UCR,20,0
1,Asterionellopsis_France,2018-06-02,2018-07-04,S2,31UCR,20,0
1,Aureococcus_NYC,2016-07-16,2016-07-28,S2,18TWL,20,1
1,Aureococcus_NYC,2016-07-16,2016-07-28,S2,18TXL,20,1
1,Chaetoceros_Seine,2016-07-05,2016-07-17,S2,30UYA,20,1
1,Chaetoceros_Seine,2016-07-05,2016-07-17,S2,30UYV,20,1
1,Chaetoceros_Somme,2016-08-31,2016-09-02,S2,31UCR,20,1
1,Ceratium_Puget,2017-07-29,2017-07-31,S2,10TET,20,1
1,Ceratium_Puget,2018-07-14,2018-07-16,S2,10TET,20,1
1,Cylindrotheca_Thau,2018-07-31,2018-09-01,S2,31TEJ,20,1
1,Gonyaulax_Vancouver,2018-07-14,2018-07-26,S2,10UEV,20,1
1,Gonyaulax_Vancouver,2018-07-14,2018-07-26,S2,10UEU,20,1
1,Leptocylindrus_Seine,2016-08-14,2016-09-15,S2,30UYA,20,1
1,Leptocylindrus_Seine,2016-08-14,2016-09-15,S2,30UYV,20,1
1,Leptocylindrus_Seine,2016-08-11,2016-08-23,S2,30UXV,20,1
1,Leptocylindrus_Seine,2020-06-21,2020-06-23,S2,30UYA,20,1
1,Leptocylindrus_Seine,2020-06-21,2020-06-23,S2,30UYV,20,1
1,Leptocylindrus_Seine,2020-06-21,2020-06-23,S2,30UXV,20,1
1,Leptocylindrus_Loire,2017-10-03,2017-10-05,S2,30TWT,20,1
1,Lingulodinium_Loire,2021-07-01,2021-09-31,S2,30TWT,20,1
1,Lingulodinium_Lorient,2021-07-01,2021-09-31,S2,30TVT,20,1
1,Margalefidinium_Korea,2019-09-18,2019-09-20,S2,52SCD,20,1
1,Margalefidinium_China,2015-09-02,2015-09-04,S2,50SNH,20,1
1,Margalefidinium_China,2015-09-02,2015-09-04,S2,50SNJ,20,1
1,Mesodinium_Aberdeen,2019-05-30,2019-06-01,S2,10TDT,20,1
1,Noctiluca_Vigo,2021-09-03,2021-09-05,S2,29TNG,20,1
1,Noctiluca_Canaria,2016-04-12,2016-04-14,S2,28RDR,20,1
1,Noctiluca_Oman,2019-03-10,2019-03-15,S2,41QKF,20,1
1,Noctiluca_Oman,2019-03-10,2019-03-15,S2,41QKG,20,1
1,Noctiluca_Oman,2019-03-10,2019-03-15,S2,41QLF,20,1
1,Noctiluca_China,2019-06-07,2019-06-09,S2,51STU,20,0
1,Noctiluca_China,2019-06-07,2019-06-09,S2,51SUU,20,0
1,Noctiluca_China,2019-06-07,2019-06-09,S2,51SUT,20,0
1,Noctiluca_China,2019-06-07,2019-06-09,S2,51STT,20,0
1,Noctiluca_Puget,2019-05-10,2019-05-12,S2,10TET,20,1
1,Nodularia_Baltic,2019-07-19,2019-07-21,S2,34VCJ,20,0
1,Nodularia_Baltic,2019-07-19,2019-07-21,S2,34VDH,20,0
1,Phaeocystis_Somme,2016-04-13,2016-04-15,S2,31UCR,20,1
1,Phaeocystis_Somme,2018-05-30,2018-06-04,S2,31UCR,20,1
1,Phaeocystis_Somme,2019-05-13,2019-05-17,S2,31UCR,20,1
1,Protoceratium_Puget,2020-07-25,2020-08-06,S2,10TET,20,1
1,Pseudochattonella_Peru,2016-03-04,2016-03-06,S2,18GXU,20,1
1,Pseudonitzschia_Vilaine,2020-07-29,2020-08-05,S2,30TWT,20,1
1,Pseudonitzschia_Vilaine,2019-05-21,2019-05-23,S2,30UUU,20,1
1,Pseudonitzschia_Berre,2020-10-23,2020-10-25,S2,31TFJ,20,1
1,Trichodesmium_Guadeloupe,2018-03-17,2018-03-19,S2,20PPC,20,0
1,Trichodesmium_Australia,2018-06-02,2018-06-04,S2,55KDU,20,0
1,Trichodesmium_Australia,2018-06-02,2018-06-04,S2,55KDV,20,0
1,Trichodesmium_Australia,2018-03-10,2018-03-12,S2,56HLJ,20,0
1,Trichodesmium_Australia,2018-03-10,2018-03-12,S2,56HLH,20,0
