process (yes if 1),Site Name,start_date,end_date,satellite,tile,Latitude,Longitude,resolution (m)
0,chad,2020-01-01,2020-12-31,S2,33PUR,13.9,13.6,20
0,chad,2020-01-01,2020-12-31,S2,33PUQ,13,13.6,20
0,chad,2020-01-01,2020-12-31,S2,33PVQ,13.08,14.6,20
0,chad,2020-01-01,2020-12-31,S2,33PVP,12.1,14.6,20
0,chad,2020-01-01,2020-12-31,S2,33PWQ,13,15.5,20
0,chad,2020-01-01,2020-12-31,S2,33PWP,12.17,15.5,20
1,chad,2020-01-01,2020-12-31,S2,33PVR,14,14.6,20
0,chad,2020-01-01,2020-12-31,S2,33PXM,10.35,16.4,20
0,chad,2020-01-01,2020-12-31,S2,33PZL,9.44,18.23,20
0,chad,2020-01-01,2020-12-31,S2,33NWJ,7.64,15.5,20
0,chad,2020-01-01,2020-12-31,S2,33PXK,8.54,16.4,20
0,chad,2020-01-01,2020-12-31,S2,33PWM,10.35,15.5,20
0,chad,2020-01-01,2020-12-31,S2,33PXK,8.55,16.4,20
0,chad,2020-01-01,2020-12-31,S2,33PVQ,13.08,14.6,20
