process (yes if 1),Site Name,start_date,end_date,satellite,tile,Latitude,Longitude,resolution (m)
1,Heterosigma_Chili,2021-03-27,2021-04-04,S2,18GYU,-42.45,-72.43,20
1,Cyano_Philippines,2020-09-03,2020-09-30,S2,51PUR,14.37,121.3,20
1,Cyano_Philippines,2020-09-03,2020-09-30,S2,51PUS,14.37,121.3,20
1,Margalefidinium_Korea,2018-07-28,2018-07-30,S2,52SCD,34.5,127.5,20
1,Margalefidinium_Korea,2019-09-18,2019-09-20,S2,52SCD,34.5,127.5,20
1,Pseudochattonella_Peru,2016-03-04,2016-03-06,S2,18GXU,-42,-73.25,20
1,Margalefidinium_China,2015-09-20,2015-09-04,S2,50SNH,38.9,117.9,20
1,Margalefidinium_China,2015-09-20,2015-09-04,S2,50SNJ,38.9,117.9,20
1,Anabaenopsis_Menorca,2018-06-18,2018-07-30,S2,31TFE,39.95,4.25,20
1,Aphanizomenon_Salvador,2019-02-15,2019-02-17,S2,16PCV,13.1,-88.6,20
1,Phaeocystis_Salvador_Nicaragua,2018-01-11,2018-01-23,S2,16PDV,13.35,-87.8,20
1,Noctiluca_Greece,2019-03-24,2019-03-26,S2,34TFK,40.6,22.89,20
1,Margalefidinium_Salvador,2017-07-05,2017-07-07,S2,16PBV,13.4,-89.2,20
1,Karenia_Seto,2018-08-01,2018-08-13,S2,53SLT,34.36,133.4,20
1,Karenia_Seto,2018-08-01,2018-08-13,S2,53SLU,34.36,133.4,20
1,Karenia_Saga,2019-07-30,2019-08-01,S2,52SFB,33,130.4,20
1,Mesodinium_Baja,2017-03-12,2017-03-14,S2,12RWP,25.99,-110.16,20
1,Mesodinium_Baja,2017-03-12,2017-03-14,S2,12RXP,25.99,-110.16,20
1,Gymnodinium_Baja,2018-04-17,2018-04-19,S2,11RQQ,31.15,-114.22,20
1,Nodularia_Poland,2018-07-24,2018-08-01,S2,34UCF,54.5,18.8,20
1,Nodularia_Poland,2020-06-25,2020-06-27,S2,34UCF,54.5,18.8,20
1,Nodularia_Poland,2020-08-14,2020-08-16,S2,34UCF,54.5,18.8,20
1,Nodularia_Finland,2018-07-26,2018-07-28,S2,34VEL,59.5,21.6,20
1,Gonyaulax_South_Africa,2017-01-30,2017-02-01,S2,34HBH,18.65,-34.25,20
1,Aphanizomenon_Sweden,2015-08-12,2015-08-14,S2,33VXF,58.7,17.7,20
1,Aphanizomenon_Sweden,2015-08-12,2015-08-14,S2,33VXE,57.9,17.5,20
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,33VXF,58.7,17.7,20
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,33VXE,57.9,17.5,20
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,34VEL,59.3,22.,20
1,Anabaena_Sweden,2017-07-17,2017-07-19,S2,33VXF,58.7,17.7,20
1,Anabaena_Sweden,2017-07-17,2017-07-19,S2,33VXE,57.9,17.5,20
1,Nodularia_Sweden,2018-07-30,2018-08-01,S2,33VXF,58.7,17.7,20
1,Nodularia_Sweden,2018-07-30,2018-08-01,S2,33VXE,57.9,17.5,20
1,Aphanizomenon_Sweden,2019-07-25,2019-07-27,S2,33VXF,58.7,17.7,20
1,Aphanizomenon_Sweden,2019-07-25,2019-07-27,S2,33VXE,57.9,17.5,20
1,Margalefidinium_Chesapeake,2017-08-03,2017-08-05,S2,18SUG,37.28,-76.55,20
1,Margalefidinium_Chesapeake,2020-08-07,2020-08-09,S2,18SUG,37.45,-76.65,20
1,Margalefidinium_Chesapeake,2020-09-06,2020-09-08,S2,18SUG,37.45,-76.65,20
1,Aureococcus_NYC,2016-07-16,2017-07-28,S2,18TWL,40.82,-73.77,20
1,Aureococcus_NYC,2016-07-26,2017-07-28,S2,18TXL,40.89,-73.7,20
1,Trichodesmium_Guadeloupe,2018-03-27,2018-03-29,S2,20PPC,15.95,-61.82,20
1,Heterosigma_Peru,2017-03-01,2017-03-13,S2,18LTM,-12.4,-77.08,20
1,Margalefidinium_Chili,2020-03-25,2020-04-09,S2,18GXS,-43.84,-73.48,20
