process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m),flag
1,Heterosigma_Chili,2021-03-27,2021-04-04,S2,18GYU,20,1
1,Cyano_Philippines,2020-09-03,2020-09-30,S2,51PUR,20,0
1,Cyano_Philippines,2020-09-03,2020-09-30,S2,51PUS,20,0
1,Margalefidinium_Korea,2018-07-28,2018-07-30,S2,52SCD,20,1
1,Margalefidinium_Korea,2019-09-18,2019-09-20,S2,52SCD,20,1
1,Pseudochattonella_Peru,2016-03-04,2016-03-06,S2,18GXU,20,1
1,Margalefidinium_China,2015-09-02,2015-09-04,S2,50SNH,20,1
1,Margalefidinium_China,2015-09-02,2015-09-04,S2,50SNJ,20,1
1,Anabaenopsis_Menorca,2018-06-18,2018-07-30,S2,31TFE,20,1
1,Aphanizomenon_Salvador,2019-02-15,2019-02-17,S2,16PCV,20,0
1,Phaeocystis_Salvador_Nicaragua,2018-01-11,2018-01-23,S2,16PDV,20,1
1,Noctiluca_Greece,2019-03-24,2019-03-26,S2,34TFK,20,1
1,Margalefidinium_Salvador,2017-07-05,2017-07-07,S2,16PBV,20,1
1,Karenia_Seto,2018-08-01,2018-08-13,S2,53SLT,20,1
1,Karenia_Seto,2018-08-01,2018-08-13,S2,53SLU,20,1
1,Karenia_Saga,2019-07-30,2019-08-01,S2,52SFB,20,1
1,Mesodinium_Baja,2017-03-12,2017-03-14,S2,12RWP,20,1
1,Mesodinium_Baja,2017-03-12,2017-03-14,S2,12RXP,20,1
1,Gymnodinium_Baja,2018-04-17,2018-04-19,S2,11RQQ,20,1
1,Nodularia_Poland,2018-07-24,2018-08-01,S2,34UCF,20,0
1,Nodularia_Poland,2020-06-25,2020-06-27,S2,34UCF,20,0
1,Nodularia_Poland,2020-08-14,2020-08-16,S2,34UCF,20,0
1,Nodularia_Finland,2018-07-26,2018-07-28,S2,34VEL,20,0
1,Gonyaulax_South_Africa,2017-01-30,2017-02-01,S2,34HBH,20,1
1,Aphanizomenon_Sweden,2015-08-12,2015-08-14,S2,33VXF,20,0
1,Aphanizomenon_Sweden,2015-08-12,2015-08-14,S2,33VXE,20,0
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,33VXF,20,0
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,33VXE,20,0
1,Aphanizomenon_Sweden,2016-07-24,2016-07-26,S2,34VEL,20,0
1,Anabaena_Sweden,2017-07-17,2017-07-19,S2,33VXF,20,0
1,Anabaena_Sweden,2017-07-17,2017-07-19,S2,33VXE,20,0
1,Nodularia_Sweden,2018-07-30,2018-08-01,S2,33VXF,20,0
1,Nodularia_Sweden,2018-07-30,2018-08-01,S2,33VXE,20,0
1,Aphanizomenon_Sweden,2019-07-25,2019-07-27,S2,33VXF,20,0
1,Aphanizomenon_Sweden,2019-07-25,2019-07-27,S2,33VXE,20,0
1,Margalefidinium_Chesapeake,2017-08-03,2017-08-05,S2,18SUG,20,1
1,Margalefidinium_Chesapeake,2020-08-07,2020-08-09,S2,18SUG,20,1
1,Margalefidinium_Chesapeake,2020-09-06,2020-09-08,S2,18SUG,20,1
1,Aureococcus_NYC,2016-07-16,2016-07-28,S2,18TWL,20,1
1,Aureococcus_NYC,2016-07-16,2016-07-28,S2,18TXL,20,1
1,Margalefidinium_Chili,2020-03-25,2020-04-09,S2,18GXS,20,1
1,Trichodesmium_Australia,2018-03-17,2018-03-19,S2,20PPC,20,0
1,Trichodesmium_Guadeloupe,2018-06-02,2018-06-04,S2,55KDU,20,0
1,Trichodesmium_Guadeloupe,2018-06-02,2018-06-04,S2,55KDV,20,0
1,Cyano_Baltic,2019-07-19,2019-07-21,S2,34VCJ,20,0
1,Cyano_Baltic,2019-07-19,2019-07-21,S2,34VDH,20,0
1,Red_tide_Chesapeake,2021-09-01,2021-09-08,S2,18SUJ,20,1
1,Lingulodinium_Loire,2021-08-13,2021-09-14,S2,30TWT,20,1
1,Lingulodinium_Lorient,2021-08-13,2021-09-12,S2,30TVT,20,1
