process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m),flag
1,Leptocylindrus_Seine,2016-08-14,2016-09-15,S2,30UYA,20,1
1,Leptocylindrus_Seine,2016-08-14,2016-09-15,S2,30UYV,20,1
1,Leptocylindrus_Seine,2016-08-11,2016-08-23,S2,30UXV,20,1
1,Leptocylindrus_Seine,2020-06-21,2020-06-23,S2,30UYA,20,1
1,Leptocylindrus_Seine,2020-06-21,2020-06-23,S2,30UYV,20,1
1,Leptocylindrus_Seine,2020-06-21,2020-06-23,S2,30UXV,20,1
1,Leptocylindrus_Loire,2017-10-03,2017-10-05,S2,30TWT,20,1
1,Lingulodinium_Loire,2021-07-01,2021-09-30,S2,30TWT,20,1
1,Lingulodinium_Lorient,2021-07-01,2021-09-30,S2,30TVT,20,1
1,Margalefidinium_Korea,2019-09-18,2019-09-20,S2,52SCD,20,1
1,Margalefidinium_China,2015-09-02,2015-09-04,S2,50SNH,20,1
1,Margalefidinium_China,2015-09-02,2015-09-04,S2,50SNJ,20,1
1,Mesodinium_Aberdeen,2019-05-30,2019-06-01,S2,10TDT,20,1
1,Noctiluca_Vigo,2021-09-03,2021-09-05,S2,29TNG,20,1
1,Noctiluca_Canaria,2016-04-12,2016-04-14,S2,28RDR,20,1
1,Noctiluca_Oman,2019-03-10,2019-03-15,S2,41QKF,20,1
1,Noctiluca_Oman,2019-03-10,2019-03-15,S2,41QKG,20,1
1,Noctiluca_Oman,2019-03-10,2019-03-15,S2,41QLF,20,1
