process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m),flag
0,_v15,2013-01-01,2022-08-31,landsat,161227,30,1
0,_v15,2013-01-01,2022-09-01,landsat,104012,30,1
0,_v15,2013-01-01,2022-09-01,landsat,133009,30,1
0,_v15,2013-01-01,2022-09-01,landsat,230231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,061013,30,1
0,_v15,2013-01-01,2022-09-01,landsat,178233,30,1
0,_v15,2013-01-01,2022-09-01,landsat,204231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,077017,30,1
0,_v15,2013-01-01,2022-09-01,landsat,063012,30,1
0,_v15,2013-01-01,2022-09-01,landsat,063013,30,1
0,_v15,2013-01-01,2022-09-01,landsat,008231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,130009,30,1
0,_v15,2013-01-01,2022-09-01,landsat,139231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,179232,30,1
0,_v15,2013-01-01,2022-09-01,landsat,206231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,159227,30,1
0,_v15,2013-01-01,2022-09-01,landsat,133008,30,1
0,_v15,2013-01-01,2022-09-01,landsat,153011,30,1
0,_v15,2013-01-01,2022-09-01,landsat,152013,30,1
0,_v15,2013-01-01,2022-09-01,landsat,062012,30,1
0,_v15,2013-01-01,2022-09-01,landsat,129009,30,1
0,_v15,2013-01-01,2022-09-01,landsat,164013,30,1
0,_v15,2013-01-01,2022-09-01,landsat,160227,30,1
0,_v15,2013-01-01,2022-09-01,landsat,154012,30,1
0,_v15,2013-01-01,2022-09-01,landsat,154011,30,1
0,_v15,2013-01-01,2022-09-01,landsat,198235,30,1
0,_v15,2013-01-01,2022-09-01,landsat,226233,30,1
0,_v15,2013-01-01,2022-09-01,landsat,227233,30,1
0,_v15,2013-01-01,2022-09-01,landsat,228233,30,1
0,_v15,2013-01-01,2022-09-01,landsat,106011,30,1
0,_v15,2013-01-01,2022-09-01,landsat,127013,30,1
0,_v15,2013-01-01,2022-09-01,landsat,166013,30,1
0,_v15,2013-01-01,2022-09-01,landsat,132009,30,1
0,_v15,2013-01-01,2022-09-01,landsat,010231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,155011,30,1
0,_v15,2013-01-01,2022-09-01,landsat,129013,30,1
0,_v15,2013-01-01,2022-09-01,landsat,156011,30,1
0,_v15,2013-01-01,2022-09-01,landsat,078017,30,1
0,_v15,2013-01-01,2022-09-01,landsat,153012,30,1
0,_v15,2013-01-01,2022-09-01,landsat,137232,30,1
0,_v15,2013-01-01,2022-09-01,landsat,062013,30,1
0,_v15,2013-01-01,2022-09-01,landsat,138231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,205231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,106012,30,1
0,_v15,2013-01-01,2022-09-01,landsat,159228,30,1
0,_v15,2013-01-01,2022-09-01,landsat,180232,30,1
0,_v15,2013-01-01,2022-09-01,landsat,078016,30,1
0,_v15,2013-01-01,2022-09-01,landsat,009231,30,1
0,_v15,2013-01-01,2022-09-01,landsat,076017,30,1
0,_v15,2013-01-01,2022-09-01,landsat,229233,30,1
0,_v15,2013-01-01,2022-09-01,landsat,151013,30,1
1,_v15,2013-01-01,2022-09-01,landsat,131009,30,1
1,_v15,2013-01-01,2022-09-01,landsat,199235,30,1
1,_v15,2013-01-01,2022-09-01,landsat,153013,30,1
1,_v15,2013-01-01,2022-09-01,landsat,200235,30,1
1,_v15,2013-01-01,2022-09-01,landsat,105012,30,1
1,_v15,2013-01-01,2022-09-01,landsat,138232,30,1
1,_v15,2013-01-01,2022-09-01,landsat,165013,30,1
1,_v15,2013-01-01,2022-09-01,landsat,178232,30,1
1,_v15,2013-01-01,2022-09-01,landsat,197235,30,1
1,_v15,2013-01-01,2022-09-01,landsat,128013,30,1
