process (yes if 1),Site Name,start_date,end_date,satellite,tile,Latitude,Longitude,resolution (m)
1,Malaga,2018-07-12,2018-07-29,S2,30SUF,36.33,-4.6,20
1,Vilaine,2019-07-20,2019-07-22,S2,30TWT,47.3,-2.55,20
1,Oleron,2020-04-10,2020-04-19,S2,30TXR,46.86,-1.34,20
1,Olonne,2020-04-02,2020-04-04,S2,30TWS,46.44,-2.1,20
1,Olonne,2020-04-10,2020-04-12,S2,30TWS,46.44,-2.1,20
1,Vie,2021-03-21,2021-04-02,S2,30TWS,46.69,-2.1,20
1,Loire,2021-03-21,2021-04-02,S2,30TWT,47.15,-2.5,20
1,Prorocentrum_record,2018-11-03,2018-12-29,S2,18SVH,38.39,-75.13,20
1,Phaeocystis_Scheldt,2019-05-15,2019-05-17,S2,31UET,51.54,3.4,20
1,Lingulodinium_Tavira,2019-07-15,2019-07-17,S2,29SPB,37.1,-7.35,20
1,Lingulodinium_Capetown,2019-02-24,2019-02-26,S2,34HBH,-34.25,18.66,20
1,Karenia_Venice,2018-07-27,2018-07-29,S2,17RLK,26.9,-82.5,20
1,Seine,2018-08-19,2018-08-21,S2,30UYV,49.38,-0.1,20
1,Seine,2019-08-29,2019-08-31,S2,30UYV,49.45,-0.12,20
1,Berre,2018-08-15,2018-08-17,S2,31TFJ,43.45,5.11,20
1,Berre,2018-09-19,2018-09-21,S2,31TFJ,43.45,5.11,20
1,Baltic_Cyano,2015-08-06,2015-08-08,S2,34VDK,57.9,20.8,20
1,Baltic_Cyano,2019-07-19,2019-07-21,S2,34VCJ,57.25,18.43,20
1,Trichodesmium_Australia,2018-06-02,2018-06-04,S2,55KDV,-18.85,146.64,20
1,Trichodesmium_Corinthe,2019-11-24,2019-11-26,S2,34SFH,37.88,23.15,20
1,Chahabar,2016-11-18,2016-11-20,S2,41RKJ,25.25,60.55,20
1,Chahabar,2016-12-08,2016-12-10,S2,41RKJ,25.25,60.55,20
1,Chahabar,2017-10-24,2017-10-26,S2,41RKJ,25.25,60.55,20
1,Chahabar,2017-11-18,2017-11-30,S2,41RKJ,25.25,60.55,20
1,Chahabar,2017-12-23,2018-01-14,S2,41RKJ,25.25,60.55,20
1,Chahabar,2018-03-28,2018-03-30,S2,41RKJ,25.25,60.55,20
1,Chahabar,2018-12-03,2016-12-15,S2,41RKJ,25.25,60.55,20
1,Chahabar,2021-03-27,2021-04-08,S2,41RKJ,25.25,60.55,20
