process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m)
1,chad,2015-03-01,2019-12-31,S2,33PUR,20
1,chad,2015-03-01,2019-12-31,S2,33PUQ,20
1,chad,2015-03-01,2019-12-31,S2,33PVQ,20
1,chad,2015-03-01,2019-12-31,S2,33PVP,20
1,chad,2015-03-01,2019-12-31,S2,33PWQ,20
1,chad,2015-03-01,2019-12-31,S2,33PWP,20
1,chad,2015-03-01,2019-12-31,S2,33PVR,20
0,chad,2020-07-01,2020-07-31,S2,33PXM,20
0,chad,2020-07-01,2020-07-31,S2,33PZL,20
0,chad,2020-07-01,2020-07-31,S2,33NWJ,20
0,chad,2020-07-01,2020-07-31,S2,33PXK,20
0,chad,2020-07-01,2020-07-31,S2,33PWM,20
0,chad,2020-07-01,2020-07-31,S2,33PXK,20
0,chad,2020-08-01,2020-09-30,S2,33PVQ,20
