Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9
443.0	0.321	0.5112	0.44	0.1164	0.11570000000000001	0.11330000000000001	0.2179	0.44580000000000003	0.7843
490.0	0.3473	0.6591	0.512	0.0903	0.08650000000000001	0.08560000000000001	0.1322	1.4623000000000002	1.584
560.0	0.3487	0.68	0.5196000000000001	0.07930000000000001	0.07050000000000001	0.06670000000000001	0.1164	1.4675	1.5451000000000001
665.0	0.37670000000000003	0.7299	0.5646	0.0529	0.0509	0.0492	0.1587	1.627	1.7147000000000001
705.0	0.3527	0.6876	0.5576	0.0683	0.0563	0.049300000000000004	0.10790000000000001	1.387	1.5571000000000002
740.0	0.3516	0.6901	0.5537000000000001	0.058600000000000006	0.046700000000000005	0.037000000000000005	0.1013	1.3215000000000001	1.5257
783.0	0.37370000000000003	0.7141000000000001	0.5785	0.0611	0.048100000000000004	0.037700000000000004	0.1409	1.2994	1.496
842.0	0.3467	0.7291000000000001	0.5543	0.0519	0.037000000000000005	0.0303	0.0637	1.7274	1.8407
865.0	0.3811	0.7243	0.5880000000000001	0.049600000000000005	0.0381	0.027	0.12380000000000001	1.2302	1.4133
945.0	0.0489	0.08600000000000001	0.0724	0.0086	0.007200000000000001	0.0054	0.027700000000000002	0.0631	0.126
1375.0	0.0013000000000000002	0.002	0.0019	0.0015	0.0012000000000000001	5.0E-4	0.0014	0.0026000000000000003	0.0033
1610.0	0.3356	0.677	0.5444	0.009600000000000001	0.0081	0.0058000000000000005	0.0847	1.206	1.2032
2190.0	0.26	0.4994	0.40390000000000004	0.0029000000000000002	0.005200000000000001	0.0034000000000000002	0.0884	0.8015	0.9743

